,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),paper
412,Li24.0P4.0S19.6Se0.4Br4.0,216,9.9902,9.9902,9.9902,90,90,90,0.0032,10.1021/acs.inorgchem.8b02443
413,Li24.0P4.0S19.2Se0.8Br4.0,216,9.9946,9.9946,9.9946,90,90,90,0.00392,10.1021/acs.inorgchem.8b02443
414,Li24.0P4.0S18.8Se1.2Br4.0,216,9.9974,9.9974,9.9974,90,90,90,0.00362,10.1021/acs.inorgchem.8b02443
415,Li24.0P4.0S18.4Se1.6Br4.0,216,10.0079,10.0079,10.0079,90,90,90,0.00364,10.1021/acs.inorgchem.8b02443
416,Li24.0P4.0S18.0Se2.0Br4.0,216,10.0176,10.0176,10.0176,90,90,90,0.00268,10.1021/acs.inorgchem.8b02443
417,Li24.0P4.0S17.6Se2.4Br4.0,216,10.0259,10.0259,10.0259,90,90,90,0.00278,10.1021/acs.inorgchem.8b02443
418,Li24.0P4.0S17.2Se2.8Br4.0,216,10.0265,10.0265,10.0265,90,90,90,0.00301,10.1021/acs.inorgchem.8b02443
419,Li24.0P4.0S16.8Se3.2Br4.0,216,10.0332,10.0332,10.0332,90,90,90,0.00348,10.1021/acs.inorgchem.8b02443
420,Li24.0P4.0S16.4Se3.6Br4.0,216,10.0418,10.0418,10.0418,90,90,90,0.00382,10.1021/acs.inorgchem.8b02443
421,Li24.0P4.0S16.0Se4.0Br4.0,216,10.0522,10.0522,10.0522,90,90,90,0.00361,10.1021/acs.inorgchem.8b02443
422,Li24.0P4.0O20.0Cl4.0,216,8.2971,8.2971,8.2971,90,90,90,5.54e-10,10.1002/zaac.201000121
423,Li24.0P4.0S20.0Br4.0,216,9.98,9.98,9.98,90,90,90,3.20e-05,10.1021/jacs.7b06327.s001
424,Li24.0P4.0S20.0Cl4.0,216,9.85,9.85,9.85,90,90,90,3.30e-05,10.1021/jacs.7b06327.s001
425,Li24.0P4.0S20.0I4.0,216,10.142,10.142,10.142,90,90,90,0.00022,10.1021/jacs.7b06327.s001
426,Li24.0P4.0S20.0I4.0,216,10.14516,10.14516,10.14516,90,90,90,1.74e-06,10.1021/jacs.7b06327.s001
427,Li24.4P3.6Ge0.4S20.0I4.0,216,10.16695,10.16695,10.16695,90,90,90,8.86e-06,10.1021/jacs.8b10282
428,Li24.6P3.4Ge0.6S20.0I4.0,216,10.18054,10.18054,10.18054,90,90,90,3.93e-05,10.1021/jacs.8b10282
429,Li24.8P3.2Ge0.8S20.0I4.0,216,10.18473,10.18473,10.18473,90,90,90,3.19e-05,10.1021/jacs.8b10282
430,Li25.0P3.0Ge1.0S20.0I4.0,216,10.19307,10.19307,10.19307,90,90,90,0.00015,10.1021/jacs.8b10282
431,Li25.2P2.8Ge1.2S20.0I4.0,216,10.20585,10.20585,10.20585,90,90,90,0.00065,10.1021/jacs.8b10282
432,Li25.6P2.4Ge1.6S20.0I4.0,216,10.22972,10.22972,10.22972,90,90,90,0.0015,10.1021/acs.nanolett.0c01028.s001
433,Li26.0P2.0Ge2.0S20.0I4.0,216,10.24314,10.24314,10.24314,90,90,90,0.00186,10.1021/acs.nanolett.0c01028.s001
434,Li26.4P1.6Ge2.4S20.0I4.0,216,10.24314,10.24314,10.24314,90,90,90,0.00521,10.1021/acs.nanolett.0c01028.s001
435,Li26.8P1.2Ge2.8S20.0I4.0,216,10.2851,10.2851,10.2851,90,90,90,0.00554,10.1021/jacs.8b10282
436,Li27.2P0.8Ge3.2S20.0I4.0,216,10.2998,10.2998,10.2998,90,90,90,0.00258,10.1021/acs.nanolett.0c01028.s001
437,Li24.0P4.0O20.0Cl4.0,216,8.2234,8.2234,8.2234,90,90,90,1.00e-09,10.1002/zaac.201000121
438,Li24.0P4.0S20.0I4.0,216,10.142,10.142,10.142,90,90,90,4.60e-07,10.1021/jacs.7b06327.s001
439,Li20.0P4.0S20.0B4.0H16.0,216,10.01,10.01,10.01,90,90,90,0.0018,10.1021/acsomega.8b00377
440,Li8.0Ce8.0B24.0H96.0Cl8.0,217,11.72,11.72,11.72,90,90,90,0.000103,10.1021/cm300792t
441,Li64.0Ge8.0P32.0,218,11.7831,11.7831,11.7831,90,90,90,8.60e-05,10.1021/acs.chemmater.8b02759
442,Li32.0B56.0O96.0Cl8.0,219,12.167,12.167,12.167,90,90,90,2.40e-05,10.1107/s0567740877009443
443,Fe1.28La23.6Li45.44Zr16.0O96.0,220,12.9783,12.9783,12.9783,90,90,90,0.000935,10.1021/acs.chemmater.6b02516
444,Fe1.52La23.6Li44.56Zr16.0O96.0,220,12.9769,12.9769,12.9769,90,90,90,0.00138,10.1021/acs.chemmater.6b02516.s004
445,Li3.0Cl1.0O1.0,221,3.91,3.91,3.91,90,90,90,0.025,10.1039/c3ta15087a
446,Li0.31La0.63Ti0.9Co0.1O3.0,221,3.8845,3.8845,3.8845,90,90,90,0.00026,10.1016/j.mseb.2004.07.003
447,Li2.0O0.9H0.9F0.1Cl1.0,221,3.91,3.91,3.91,90,90,90,3.86e-05,10.1002/anie.201604554
448,Li2.0O1.0H1.0Br1.0,221,4.056,4.056,4.056,90,90,90,1.20e-06,10.1002/ange.201604554
449,La0.55Li0.45Ti0.9Al0.1O3.0,221,3.8697,3.8697,3.8697,90,90,90,0.00151,10.1016/j.jallcom.2017.05.278
450,La0.6Li0.4Ti0.8Al0.2O3.0,221,3.8617,3.8617,3.8617,90,90,90,0.000568,10.1016/j.jallcom.2017.05.278
451,La0.65Li0.35Ti0.7Al0.3O3.0,221,3.8594,3.8594,3.8594,90,90,90,0.000161,10.1016/j.jallcom.2017.05.278
452,La0.7Li0.3Ti0.6Al0.4O3.0,221,3.8472,3.8472,3.8472,90,90,90,1.04e-07,10.1016/j.jallcom.2017.05.278
453,Li0.38Sr0.44Hf0.25Ta0.75O3.0,221,3.992,3.992,3.992,90,90,90,0.00038,10.1021/acsami.6b03070.s001
454,La0.6Sr0.06Li0.06Ti1.0O3.0,221,5.477,5.477,5.477,90,90,90,1.13e-05,10.1021/cm020609u
455,La0.56Sr0.1Li0.1Ti1.0O3.0,221,5.481,5.481,5.481,90,90,90,1.37e-05,10.1021/cm020609u
456,La0.51Sr0.15Li0.15Ti1.0O3.0,221,5.489,5.489,5.489,90,90,90,5.30e-05,10.1021/cm020609u
457,La0.41Sr0.25Li0.25Ti1.0O3.0,221,5.495,5.495,5.495,90,90,90,7.64e-05,10.1021/cm020609u
458,La0.39Sr0.28Li0.28Ti1.0O3.0,221,5.497,5.497,5.497,90,90,90,6.04e-05,10.1021/cm020609u
459,La0.36Sr0.3Li0.3Ti1.0O3.0,221,5.499,5.499,5.499,90,90,90,1.92e-05,10.1021/cm020609u
460,La0.58Li0.27Ti1.0O3.0,221,3.8771,3.8771,3.8771,90,90,90,0.000832,10.1016/s0167-2738(98)00070-8
461,La0.56Li0.33Ti1.0O3.0,221,3.8751,3.8751,3.8751,90,90,90,0.0013,10.1016/s0167-2738(98)00070-8
462,La0.55Li0.36Ti1.0O3.0,221,3.8738,3.8738,3.8738,90,90,90,0.00154,10.1016/s0167-2738(98)00070-8
463,La0.54Li0.39Ti1.0O3.0,221,3.8726,3.8726,3.8726,90,90,90,0.00125,10.1016/s0167-2738(98)00070-8
464,La0.52Li0.45Ti1.0O3.0,221,3.8723,3.8723,3.8723,90,90,90,0.000785,10.1016/s0167-2738(98)00070-8
465,La0.51Li0.34Ti1.0O2.94,221,3.871,3.871,3.871,90,90,90,7.00e-05,10.1016/0038-1098(93)90841-A
466,Li3.0O1.0Br1.0,221,4.05,4.05,4.05,90,90,90,1.10e-06,10.1021/ja305709z;10.1016/j.ssi.2015.11.027
467,Li3.0O1.0Br1.0,221,4.05,4.05,4.05,90,90,90,1.06e-06,10.1021/ja305709z;10.1016/j.ssi.2015.11.027
468,Li0.25La0.25Ta1.0O3.0,221,3.9063,3.9063,3.9063,90,90,90,2.61e-05,10.1016/S0167-2738(98)00414-7
469,Li0.5Sr0.5Cr0.25Ta0.75O3.0,221,3.9503,3.9503,3.9503,90,90,90,6.00e-05,10.1016/S0378-7753(97)02645-1
470,Li0.5Sr0.5Fe0.25Ta0.75O3.0,221,3.9639,3.9639,3.9639,90,90,90,0.0001,10.1016/S0378-7753(97)02645-1
471,Li0.76La2.68Ti3.6Co0.4O12.0,225,7.7722,7.7722,7.7722,90,90,90,0.000108,10.1016/j.mseb.2004.07.003
472,Li24.0N4.0Br12.0,225,8.9334,8.9334,8.9334,90,90,90,1.00e-08,10.1016/j.jallcom.2015.01.082
473,Li10.72Ti13.28O32.0,227,8.362,8.362,8.362,90,90,90,6.03e-08,10.1016/j.ssi.2010.06.003
474,Li10.14Mg0.8Ti13.07O32.0,227,8.3649,8.3649,8.3649,90,90,90,1.73e-08,10.1016/j.ssi.2010.06.003
475,Li9.6Mg1.6Ti12.8O32.0,227,8.3666,8.3666,8.3666,90,90,90,4.24e-09,10.1016/j.ssi.2010.06.003
476,Li9.12Mg2.4Ti12.48O32.0,227,8.3703,8.3703,8.3703,90,90,90,1.51e-09,10.1016/j.ssi.2010.06.003
477,Li16.0Mn8.0Cl32.0,227,10.481,10.481,10.481,90,90,90,4.79e-06,10.1016/0167-2738(83)90223-0
478,Li16.0Mg8.0Cl32.0,227,10.416,10.416,10.416,90,90,90,6.24e-07,10.1016/0167-2738(83)90223-0
479,Li15.2Mn7.2Ga0.8Cl32.0,227,10.4881,10.4881,10.4881,90,90,90,2.37e-07,10.1016/s0167-2738(96)00592-9
480,Li13.2Mn5.2In2.8Cl32.0,227,10.4696,10.4696,10.4696,90,90,90,9.90e-08,10.1016/s0167-2738(96)00592-9
481,Li8.0Cd8.0Cl32.0,227,10.635,10.635,10.635,90,90,90,5.80e-07,10.1016/0025-5408(81)90142-2
482,Li8.0Sr8.0Nb16.0O48.0F8.0,227,10.48371,10.48371,10.48371,90,90,90,1e-15,10.2497/jjspm.25.e1
483,Li8.0Sr8.0Ta16.0O48.0F8.0,227,10.46919,10.46919,10.46919,90,90,90,1e-15,10.2497/jjspm.25.e1
484,Li8.0Sr7.2Nb16.0O48.0F6.4,227,10.4951,10.4951,10.4951,90,90,90,1e-15,10.2497/jjspm.25.e1
485,Li8.0Sr7.2Ta16.0O48.0F6.4,227,10.4737,10.4737,10.4737,90,90,90,1e-15,10.2497/jjspm.25.e1
486,Li8.8Sr8.0Nb15.2Zr0.8O48.0F8.0,227,10.48854,10.48854,10.48854,90,90,90,1e-15,10.2497/jjspm.25.e1
487,Li8.8Sr8.0Ta15.2Zr0.8O48.0F8.0,227,10.46992,10.46992,10.46992,90,90,90,1e-15,10.2497/jjspm.25.e1
488,Li56.0La24.0Zr16.0O96.0,230,12.972,12.972,12.972,90,90,90,0.00012,10.1016/j.jssc.2009.05.020
489,Li48.0La16.0Sr8.0Nb16.0O96.0,230,12.83078,12.83078,12.83078,90,90,90,6.21e-07,10.1111/j.1551-2916.2005.00060.x
490,Li48.0Sr8.0La16.0Nb16.0O96.0,230,12.811,12.811,12.811,90,90,90,4.20e-06,10.1111/j.1551-2916.2005.00060.x
491,Li48.0Ca8.0La16.0Nb16.0O96.0,230,12.697,12.697,12.697,90,90,90,1.60e-06,10.1111/j.1551-2916.2005.00060.x
492,Li42.0Ba2.0La22.0Ta16.0O96.0,230,12.957,12.957,12.957,90,90,90,7.41e-06,10.1007/s11581-007-0097-8
493,Li44.0Ba4.0La20.0Ta16.0O96.0,230,12.912,12.912,12.912,90,90,90,1.41e-05,10.1007/s11581-007-0097-8
494,Li50.0Ba10.0La14.0Ta16.0O96.0,230,12.806,12.806,12.806,90,90,90,4.99e-05,10.1007/s11581-007-0097-8
495,Li52.0Ba12.0La12.0Ta16.0O96.0,230,12.814,12.814,12.814,90,90,90,3.08e-05,10.1007/s11581-007-0097-8
496,Li54.0Ba14.0La10.0Ta16.0O96.0,230,12.819,12.819,12.819,90,90,90,1.18e-05,10.1007/s11581-007-0097-8
497,Li56.0Ba16.0La8.0Ta16.0O96.0,230,12.834,12.834,12.834,90,90,90,2.85e-06,10.1007/s11581-007-0097-8
498,Li40.0La24.0Ta16.0O96.0,230,13.018,13.018,13.018,90,90,90,6.61e-06,10.1007/s11581-007-0097-8
499,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.824,12.824,12.824,90,90,90,2.95e-05,10.1007/s11581-007-0097-8
500,Li56.0La24.0Zr15.12Al1.2O96.0,230,13,13,13,90,90,90,0.00034,10.1016/j.jpowsour.2013.03.049
501,Li56.48La24.0Y0.48Zr15.52O96.0,230,12.9672,12.9672,12.9672,90,90,90,0.00081,10.1016/j.elecom.2011.08.014
502,Li50.0La24.0Zr16.0Ga2.0O96.0,230,12.971,12.971,12.971,90,90,90,0.00035,10.1016/j.matchemphys.2012.03.054
503,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.964,12.964,12.964,90,90,90,0.00028,10.1039/c2jm31413d
504,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.948,12.948,12.948,90,90,90,0.00073,10.1039/c2jm31413d
505,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.945,12.945,12.945,90,90,90,0.00092,10.1039/c2jm31413d
506,Li51.2La24.0Zr11.2Ta4.8O96.0,230,12.922,12.922,12.922,90,90,90,0.001,10.1039/c2jm31413d
507,Li49.6La24.0Zr9.6Ta6.4O96.0,230,12.908,12.908,12.908,90,90,90,0.00032,10.1039/c2jm31413d
508,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.892,12.892,12.892,90,90,90,0.00016,10.1039/c2jm31413d
509,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.978,12.978,12.978,90,90,90,0.00073,10.1039/c2jm31413d
510,Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.9801,12.9801,12.9801,90,90,90,0.00063,10.1149/2.024205esl
511,Li53.2La24.0Zr13.2Ta2.8O96.0,230,12.9591,12.9591,12.9591,90,90,90,0.00046,10.1149/2.024205esl
512,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.947,12.947,12.947,90,90,90,0.00047,10.1039/c2jm31413d
513,Li52.4La24.0Zr12.4Ta3.6O96.0,230,12.9489,12.9489,12.9489,90,90,90,0.0004,10.1149/2.024205esl
514,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.89,12.89,12.89,90,90,90,0.00035,10.1039/c2jm31413d
515,Li40.0La24.0Ta16.0O96.0,230,12.8311,12.8311,12.8311,90,90,90,3.40e-05,10.1007/s11581-007-0097-8
516,Li53.6La24.0Zr13.6Ta2.4O96.0,230,12.9721,12.9721,12.9721,90,90,90,0.00069,10.1149/2.024205esl
517,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.9187,12.9187,12.9187,90,90,90,0.00028,10.1039/c2jm31413d
518,Li48.4Ga2.0La24.0Zr16.0O94.4F1.6,230,12.96891,12.96891,12.96891,90,90,90,0.00128,10.1021/acsami.8b17656
519,Li45.76Al2.08La24.0Zr12.0W2.0O96.0,230,12.954,12.954,12.954,90,90,90,0.00049,10.1021/acs.chemmater.5b02429
520,Li54.4La24.0Zr15.2Mo0.8O96.0,230,12.9697,12.9697,12.9697,90,90,90,8.00e-05,10.1021/acs.inorgchem.5b01895
521,Li52.8La24.0Zr14.4Mo1.6O96.0,230,12.969,12.969,12.969,90,90,90,0.000311,10.1021/acs.inorgchem.5b01895
522,Li51.2La24.0Zr13.6Mo2.4O96.0,230,12.9552,12.9552,12.9552,90,90,90,0.000369,10.1021/acs.inorgchem.5b01895
523,Li49.6La24.0Zr12.8Mo3.2O96.0,230,12.9532,12.9532,12.9532,90,90,90,0.00034,10.1021/acs.inorgchem.5b01895
524,Li52.0La24.0Zr14.0Mo2.0O96.0,230,12.9607,12.9607,12.9607,90,90,90,0.000333,10.1021/acs.inorgchem.5b01895
525,Li54.0La24.0Zr15.0Te1.0O96.0,230,12.9469,12.9469,12.9469,90,90,90,0.00033,10.1016/j.jpowsour.2013.03.166
526,Li52.0La24.0Zr14.0Te2.0O96.0,230,12.9134,12.9134,12.9134,90,90,90,0.00102,10.1016/j.jpowsour.2013.03.166
527,Li40.0La24.0Bi16.0O96.0,230,13.0652,13.0652,13.0652,90,90,90,1.90e-05,10.1016/j.mseb.2007.07.009
528,Li48.0La16.0Sr8.0Bi16.0O96.0,230,13.0893,13.0893,13.0893,90,90,90,2.00e-05,10.1016/j.mseb.2007.07.009
529,Li40.0Nd24.0Sb16.0O96.0,230,12.66238,12.66238,12.66238,90,90,90,1.30e-07,10.1016/j.ssi.2008.01.002
530,Li32.0Nd24.0Te8.0Sb8.0O96.0,230,12.62138,12.62138,12.62138,90,90,90,8.70e-09,10.1021/cm703677q
531,Li40.0La24.0Sb16.0O96.0,230,12.8566,12.8566,12.8566,90,90,90,7.80e-06,10.1016/j.ssi.2008.01.002
532,Li48.0Sr8.0La16.0Sb16.0O96.0,230,12.8933,12.8933,12.8933,90,90,90,6.30e-06,10.1016/j.materresbull.2007.10.035
533,Li48.0La16.0Ca8.0Nb16.0O96.0,230,12.72185,12.72185,12.72185,90,90,90,1.33e-06,10.1016/j.ssi.2008.01.047
534,Li48.0La16.0Sr8.0Nb16.0O96.0,230,12.83078,12.83078,12.83078,90,90,90,3.69e-06,10.1016/j.ssi.2008.01.047
535,Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.725,12.725,12.725,90,90,90,2.20e-06,10.1016/j.ssi.2008.10.022
536,Li48.0Ba8.0La16.0Ta16.0O96.0,230,13.001,13.001,13.001,90,90,90,1.30e-05,10.1007/s11581-007-0097-8
537,Li49.2La24.0Zr14.0Ta2.0Ga1.6O96.0,230,12.95,12.95,12.95,90,90,90,0.00041,10.1016/j.jpowsour.2012.01.131
538,Li49.2La24.0Zr14.0Ta2.0Al1.6O96.0,230,12.95,12.95,12.95,90,90,90,0.00037,10.1016/j.jpowsour.2012.01.131
539,Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.96,12.96,12.96,90,90,90,0.00087,10.1149/2.024205esl
540,Li56.0La24.0Zr16.0O96.0,230,12.9727,12.9727,12.9727,90,90,90,1.97e-06,10.1016/j.jssc.2009.05.020
541,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.995,12.995,12.995,90,90,90,1.69e-05,10.1007/s11581-007-0097-8
542,Nd24.0Zr16.0Al4.0Li44.0O96.0,230,12.8158,12.8158,12.8158,90,90,90,3.90e-05,10.1039/c3ta13252h
543,Li50.08Al1.92La24.0Zr16.0O96.0,230,12.96328,12.96328,12.96328,90,90,90,0.00021,10.1016/j.ssi.2015.04.011
544,Li48.0La24.0Nb12.0Y4.0O96.0,230,12.9136,12.9136,12.9136,90,90,90,0.000188,10.1021/jp304737x
545,Li41.6La24.0Nb15.2Y0.8O96.0,230,12.8216,12.8216,12.8216,90,90,90,6.39e-05,10.1021/jp304737x
546,Li43.2La24.0Nb14.4Y1.6O96.0,230,12.8306,12.8306,12.8306,90,90,90,6.74e-05,10.1021/jp304737x
547,Li44.0La24.0Nb14.0Y2.0O96.0,230,12.8582,12.8582,12.8582,90,90,90,9.18e-05,10.1021/jp304737x
548,Li52.0La24.0Nb10.0Y6.0O96.0,230,12.9488,12.9488,12.9488,90,90,90,0.000343,10.1021/jp304737x
549,Li48.0Ba4.0Sr4.0La16.0Ta16.0O96.0,230,12.92046,12.92046,12.92046,90,90,90,7.10e-06,10.1021/am4060194
550,Li48.0Sr8.0La16.0Ta16.0O96.0,230,12.846394,12.846394,12.846394,90,90,90,5.40e-06,10.1021/am4060194
551,Li48.0Ba8.0La16.0Ta16.0O96.0,230,13.011211,13.011211,13.011211,90,90,90,1.50e-05,10.1007/s11581-007-0097-8
552,Li48.0Ca8.0La16.0Ta16.0O96.0,230,12.72383,12.72383,12.72383,90,90,90,2.20e-06,10.1016/j.ssi.2008.10.022
553,Li48.0Ba8.0La16.0Ta16.0O96.0,230,12.946,12.946,12.946,90,90,90,4.00e-05,10.1007/s11581-007-0097-8
554,Li48.0Sr8.0La16.0Ta16.0O96.0,230,12.808,12.808,12.808,90,90,90,7.00e-06,10.1021/am4060194
555,Li45.92La24.0Zr12.0Ta4.0O96.0,230,12.93,12.93,12.93,90,90,90,0.000903,10.1002/aenm.201570062
556,La24.0Li40.64Ta12.08Zr3.12O96.0,230,12.84,12.84,12.84,90,90,90,0.000103,10.1002/aenm.201570062
557,Li409.6Al12.8La192.0Zr128.0O768.0,230,12.959,12.959,12.959,90,90,90,0.000254,10.1038/srep18053
558,Li396.8Al12.8La192.0Zr115.2Ta12.8O768.0,230,12.958,12.958,12.958,90,90,90,0.000614,10.1038/srep18053
559,Li40.0La24.0Ta16.0O96.0,230,12.8176,12.8176,12.8176,90,90,90,1.59e-05,10.1007/s11581-007-0097-8
560,Li42.4La24.0Ta14.8Sm1.2O96.0,230,12.8108,12.8108,12.8108,90,90,90,7.11e-06,10.1021/acs.inorgchem.7b00816
561,Li44.0La24.0Ta14.0Sm2.0O96.0,230,12.8206,12.8206,12.8206,90,90,90,5.17e-06,10.1021/acs.inorgchem.7b00816
562,Li45.6La24.0Ta13.2Sm2.8O96.0,230,12.8309,12.8309,12.8309,90,90,90,2.15e-05,10.1021/acs.inorgchem.7b00816
563,Li47.2La24.0Ta12.4Sm3.6O96.0,230,12.846,12.846,12.846,90,90,90,1.18e-05,10.1021/acs.inorgchem.7b00816
564,Li48.8La24.0Ta11.6Sm4.4O96.0,230,12.8525,12.8525,12.8525,90,90,90,1.40e-05,10.1021/acs.inorgchem.7b00816
565,Li56.0La24.0Zr16.0O96.0,230,12.9682,12.9682,12.9682,90,90,90,0.000569,10.1016/j.jssc.2009.05.020
566,Li40.0La24.0Nb16.0O96.0,230,12.718,12.718,12.718,90,90,90,0.000532,10.1111/j.1551-2916.2005.00060.x
567,Li40.0La24.0Nb15.6Y0.4O96.0,230,12.717,12.717,12.717,90,90,90,1.34e-05,10.1016/j.jpowsour.2011.05.031
568,Li40.0La24.0Nb15.2Y0.8O96.0,230,12.717,12.717,12.717,90,90,90,1.44e-05,10.1016/j.jpowsour.2011.05.031
569,Li40.0La24.0Nb14.8Y1.2O96.0,230,12.732,12.732,12.732,90,90,90,5.71e-06,10.1016/j.jpowsour.2011.05.031
570,Li40.0La24.0Nb14.4Y1.6O96.0,230,12.743,12.743,12.743,90,90,90,9.13e-06,10.1016/j.jpowsour.2011.05.031
571,Li40.0La24.0Nb14.0Y2.0O96.0,230,12.717,12.717,12.717,90,90,90,9.68e-06,10.1016/j.jpowsour.2011.05.031
572,La24.0Zr16.0Ga4.0Li44.0O96.0,230,12.9697,12.9697,12.9697,90,90,90,0.0001,10.1039/c2dt31318a
573,Li54.4La24.0Zr14.4Sb1.6O96.0,230,12.97545,12.97545,12.97545,90,90,90,5.90e-05,10.1039/C3CP50991E
574,Li52.8La24.0Zr12.8Sb3.2O96.0,230,12.95955,12.95955,12.95955,90,90,90,0.00077,10.1039/c3cp50991e
575,Li51.2La24.0Zr11.2Sb4.8O96.0,230,12.95179,12.95179,12.95179,90,90,90,0.00066,10.1039/c3cp50991e
576,Li49.6La24.0Zr9.6Sb6.4O96.0,230,12.92484,12.92484,12.92484,90,90,90,0.00045,10.1039/c3cp50991e
577,Li48.0La24.0Zr8.0Sb8.0O96.0,230,12.9237,12.9237,12.9237,90,90,90,0.00026,10.1039/c3cp50991e
578,Li24.0Nd24.0Te16.0O96.0,230,12.56253,12.56253,12.56253,90,90,90,1e-15,10.1021/cm060992t
579,Li56.0La24.0Hf16.0O96.0,230,12.938,12.938,12.938,90,90,90,0.00024,10.1007/s11581-010-0486-2
580,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.9594,12.9594,12.9594,90,90,90,0.000313,10.1039/c2jm31413d
581,Li52.8La23.0Y1.0Zr12.8Ta3.2O96.0,230,12.9572,12.9572,12.9572,90,90,90,0.000317,10.1021/am503731h
582,Li52.8La22.0Y2.0Zr12.8Ta3.2O96.0,230,12.9506,12.9506,12.9506,90,90,90,0.000436,10.1021/am503731h
583,Li52.8La20.0Y4.0Zr12.8Ta3.2O96.0,230,12.9479,12.9479,12.9479,90,90,90,0.000226,10.1021/am503731h
584,Li56.0La24.0Zr16.0O96.0,230,12.968,12.968,12.968,90,90,90,0.000511,10.1016/j.jssc.2009.05.020
585,Li51.2Al1.52La24.0Zr16.0O94.4,230,12.972,12.972,12.972,90,90,90,0.00031,10.1016/j.jpowsour.2012.02.100
586,Li56.48La24.0Zr15.52Y0.48O96.0,230,12.9672,12.9672,12.9672,90,90,90,0.000956,10.1016/j.elecom.2011.08.014
587,Li48.0Ba8.0La16.0Ta16.0O96.0,230,13.001,13.001,13.001,90,90,90,1.30e-05,10.1007/s11581-007-0097-8
588,Li40.0La24.0Ta16.0O96.0,230,12.85,12.85,12.85,90,90,90,1.54e-06,10.1007/s11581-007-0097-8
589,Li40.0La24.0Bi16.0O96.0,230,13.052,13.052,13.052,90,90,90,2.20e-05,10.1016/j.mseb.2007.07.009
590,Li54.0La24.0Zr14.0Nb2.0O96.0,230,12.9519,12.9519,12.9519,90,90,90,0.0008,10.1016/j.jpowsour.2010.11.089
591,Li50.0La24.0Zr16.0Ga2.0O96.0,230,12.971,12.971,12.971,90,90,90,0.00035,10.1016/j.matchemphys.2012.03.054
592,Li52.0La24.0Nb10.0Y6.0O96.0,230,12.9488,12.9488,12.9488,90,90,90,0.00027,10.1021/jp304737x
593,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.945,12.945,12.945,90,90,90,0.00092,10.1039/c2jm31413d
594,Li52.8La24.0Zr12.8Ta3.2O96.0,230,12.948,12.948,12.948,90,90,90,0.00073,10.1039/c2jm31413d
595,Li49.6La24.0Zr9.6Ta6.4O96.0,230,12.908,12.908,12.908,90,90,90,0.00032,10.1039/c2jm31413d
596,Li54.4La24.0Zr14.4Ta1.6O96.0,230,12.964,12.964,12.964,90,90,90,0.00028,10.1039/c2jm31413d
597,Li48.0La24.0Zr8.0Ta8.0O96.0,230,12.891,12.891,12.891,90,90,90,0.00016,10.1039/c2jm31413d
598,Li54.0La24.0Zr14.0Ta2.0O96.0,230,12.9801,12.9801,12.9801,90,90,90,0.00063,10.1149/2.024205esl
599,Li43.2La24.0Nb14.4Y6.0O96.0,230,12.9488,12.9488,12.9488,90,90,90,2.51e-05,10.1021/jp304737x
600,Li48.0La16.0Ca8.0Nb16.0O96.0,230,12.72185,12.72185,12.72185,90,90,90,2.11e-06,10.1111/j.1551-2916.2005.00060.x
601,Li40.0La24.0Sb16.0O96.0,230,12.84665,12.84665,12.84665,90,90,90,2.06e-06,10.1016/j.ssi.2008.01.002
602,Li52.0La24.0Zr12.0Ta4.0O96.0,230,12.954,12.954,12.954,90,90,90,0.000794,10.1039/c2jm31413d
603,Li52.0La23.6Ba0.4Zr11.6Ta4.4O96.0,230,12.949,12.949,12.949,90,90,90,0.000832,10.3389/fenrg.2016.00028
604,Li52.0La23.2Ba0.8Zr11.2Ta4.8O96.0,230,12.944,12.944,12.944,90,90,90,0.000834,10.3389/fenrg.2016.00028
605,Li52.0La22.4Ba1.6Zr10.4Ta5.6O96.0,230,12.952,12.952,12.952,90,90,90,0.000631,10.3389/fenrg.2016.00028
606,Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,230,12.964,12.964,12.964,90,90,90,0.000492,10.3389/fenrg.2016.00028
607,Li56.0La24.0Ta16.0O104.0,230,12.82,12.82,12.82,90,90,90,2.65e-06,10.1016/j.ssi.2009.07.002
